NOMBRE_FAMILIA,NOMBRE_LUGAR_CAS,NOMBRE_LUGAR_EUS,COD_CALLE,NOMBRE_CALLE,COD_TIPO_VIA,NOMBRE_TIPO_VIA,NUMERO,BIS,COORDENADA_UTM_X,COORDENADA_UTM_Y
Edificios emblemáticos,RASCACIELOS CALLE BAILÉN,BAILEN KALEKO ETXE ORRATZA,1160,BAILEN,CL,CALLE,1,,506083.16,4789853.32
MONUMENTOS RELIGIOSOS,IGLESIA SAN ANTÓN,SAN ANTON ELIZA,7930,RIBERA,CL,CALLE,24,,506339.88,4789373.34
Edificios emblemáticos,EDIFICIO CORREOS,POSTA ERAIKINA,9340,URQUIJO,AL,ALAMEDA,19,,505641.60,4789882.83
Monumentos religiosos,IGLESIA SAN NICOLÁS DE BARI,BARIKO SAN NICOLAS ELIZA,8630,SAN NICOLAS,PZ,PLAZUELA,1,,506389.55,4789907.62
Edificios emblemáticos,EDIFICIO DE AVIACIÓN Y COMERCIO,ABIAZIO ETA MERKATARITZA ERAIKINA,260,VENEZUELA,PL,PLAZA,1,,506218.62,4790189.58
Arte al aire libre,SIMÓN BOLÍVAR,SIMON BOLIVAR,260,VENEZUELA,PL,PLAZA,1,,506218.62,4790189.58
Edificios emblemáticos,PALACIO ALLENDE SALAZAR,ALLENDE SALAZAR JAUREGIA,2420,CORREO,CL,CALLE,14,,506305.75,4789718.92
MONUMENTOS RELIGIOSOS,IGLESIA DE LOS SANTOS JUANES,JOAN SANTUEN ELIZA,2520,CRUZ DE LA,CL,CALLE,4,,506415.07,4789664.66
Otros museos,MUSEO VASCO,EUSKAL MUSEOA. Lanengatik itxita,1610,UNAMUNO MIGUEL,PL,PLAZA,4,,506468.30,4789694.88
Monumentos religiosos,IGLESIA SAN FRANCISCO DE ASÍS,ASISKO FRANTZISKO SANTUAREN ELIZA,4380,HURTADO DE AMEZAGA,CL,CALLE,21,,505529.05,4789640.99
